#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc
0,6,NL,PinkRoid~,1407,30,5,0,1,35,0.8571428571428571
1,1,KR,PRO༊,1377,33,11,0,2,44,0.75
2,6,NL,Seiishizo,1369,25,5,0,3,30,0.833333333333333
3,6,DE,SmokeZzz,1364,25,5,0,4,30,0.833333333333333
4,2,JP,XカブレラX,1364,41,19,0,4,60,0.683333333333333
5,2,FR,☆étoile☆,1354,42,18,0,6,60,0.7000000000000001
6,6,FR,SaPyn,1353,33,13,0,7,46,0.717391304347826
7,3,CN,⚕⚕至尊寶⚕⚕,1352,41,19,0,8,60,0.683333333333333
8,2,JP,Ryuji@,1351,32,12,0,9,44,0.7272727272727271
9,4,US,Ex|Shizzy,1350,24,6,0,10,30,0.8
10,2,JP,MiranღNoah,1348,19,1,0,11,20,0.9500000000000001
11,6,US,Bor@m,1348,32,12,0,11,44,0.7272727272727271
12,3,CN,俏皮可爱小尾巴,1348,41,19,0,11,60,0.683333333333333
13,6,AT,DønJex,1347,28,8,0,14,36,0.777777777777777
14,4,MX,conejojo,1346,24,6,0,15,30,0.8
15,3,CN,帅狗奥特曼,1346,23,4,0,15,27,0.8518518518518511
16,2,JP,ぶるぶるー,1339,21,4,0,17,25,0.84
17,5,AU,Icedcoyote,1335,27,10,0,18,37,0.729729729729729
18,1,KR,#Maximus,1334,40,19,0,19,59,0.677966101694915
19,3,CN,贝吉塔#神,1333,36,15,0,20,51,0.7058823529411761
20,2,JP,おさださん,1331,22,5,0,21,27,0.8148148148148141
21,6,DE,G2urker,1331,32,15,0,21,47,0.6808510638297871
22,5,TH,o2loveo,1331,22,6,0,21,28,0.785714285714285
23,3,CN,杰咪爸,1331,26,8,0,21,34,0.764705882352941
24,5,TH,Krom`z,1331,26,9,0,21,35,0.7428571428571421
25,6,FR,Rosith,1329,19,3,0,26,22,0.8636363636363631
26,5,SG,~khaii~,1328,31,12,0,27,43,0.720930232558139
27,5,TH,HONG_KFC,1327,29,11,0,28,40,0.725
28,5,VN,❀Liกh้Aกh,1327,24,6,0,28,30,0.8
29,6,FI,Viilipytty,1326,23,7,0,30,30,0.766666666666666
30,6,GR,dragalion,1326,16,0,0,30,16,1.0
31,4,UY,Elmimo,1324,23,7,0,32,30,0.766666666666666
32,2,JP,えれま,1324,19,3,0,32,22,0.8636363636363631
33,6,FR,LH][Drogo974,1323,36,19,0,34,55,0.6545454545454541
34,2,JP,だに〜,1322,36,19,0,35,55,0.6545454545454541
35,5,ID,_ThunderVolt_,1319,21,5,0,36,26,0.807692307692307
36,6,DE,-ᴛɪᴍʙø-,1318,18,2,0,37,20,0.9
37,3,CN,Howtoplay༢,1317,17,2,0,38,19,0.894736842105263
38,3,CN,o0从麟开始0o,1316,39,21,0,39,60,0.65
39,6,FR,Albuza,1316,33,15,0,39,48,0.6875
40,3,CN,渣男锡纸烫®,1316,25,9,0,39,34,0.7352941176470581
41,4,US,TrueWhale,1315,23,7,0,42,30,0.766666666666666
42,3,CN,海贼༒斌哥,1315,20,5,0,42,25,0.8
43,2,JP,RこまR,1314,24,8,0,44,32,0.75
44,4,CA,Alloraan,1314,22,8,0,44,30,0.7333333333333331
45,4,US,DDSquirtle,1314,22,8,0,44,30,0.7333333333333331
46,3,CN,绿茶.,1313,20,4,0,47,24,0.833333333333333
47,2,JP,abuchiyo,1313,22,7,0,47,29,0.758620689655172
48,3,CN,大V威,1313,18,3,0,47,21,0.8571428571428571
49,2,JP,サキ2,1313,25,8,0,47,33,0.757575757575757
50,3,CN,海贼༒卡罗特,1312,17,2,0,51,19,0.894736842105263
51,6,DE,cRyTexx,1311,30,14,0,52,44,0.6818181818181811
52,6,DE,Show;}Down,1311,35,19,0,52,54,0.648148148148148
53,4,VN,T0n4Ch3n,1311,20,4,0,52,24,0.833333333333333
54,1,KR,빛암마켓,1311,17,2,0,52,19,0.894736842105263
55,4,SA,Alzaher,1310,23,7,0,56,30,0.766666666666666
56,5,TW,/喵喵/,1310,22,6,0,56,28,0.785714285714285
57,6,AU,Turtle™,1309,22,7,0,58,29,0.758620689655172
58,2,JP,蓮♡3rd,1309,24,8,0,58,32,0.75
59,4,BD,Ę.Ń.Đ,1309,22,7,0,58,29,0.758620689655172
60,6,FR,Hows,1308,20,5,0,61,25,0.8
61,6,DE,Reach,1308,31,15,0,61,46,0.6739130434782601
62,5,TH,Ë❃JE_KFC,1308,31,15,0,61,46,0.6739130434782601
63,4,JP,脳死した子供,1308,19,4,0,61,23,0.826086956521739
64,5,HK,❄虐小的西西❄,1308,27,11,0,61,38,0.710526315789473
65,1,KR,°빛대,1308,32,15,0,61,47,0.6808510638297871
66,1,KR,오드나,1307,20,6,0,67,26,0.769230769230769
67,1,KR,수즈,1307,26,10,0,67,36,0.7222222222222221
68,1,KR,삞싥뭃,1307,22,6,1,67,29,0.758620689655172
69,2,JP,ʚしるばɞ,1307,38,22,0,67,60,0.6333333333333331
70,1,KR,TM하울링,1306,35,17,0,71,52,0.673076923076923
71,4,CA,Evan_Beast,1306,22,7,1,71,30,0.7333333333333331
72,5,VN,Lếu.Lều,1306,39,21,0,71,60,0.65
73,6,BT,VanessaPlease~,1306,25,10,0,71,35,0.7142857142857141
74,1,KR,서빈마마,1306,25,9,0,71,34,0.7352941176470581
75,2,JP,Shaja⛵,1305,29,12,0,76,41,0.707317073170731
76,1,KR, 레오나 ,1305,39,21,0,76,60,0.65
77,6,NL,Zanplix,1305,28,13,0,76,41,0.6829268292682921
78,3,CN,娄帅帅,1304,23,7,0,79,30,0.766666666666666
79,5,JM,JamRock_,1304,18,4,0,79,22,0.818181818181818
80,6,DE,sykesthedog,1304,22,8,0,79,30,0.7333333333333331
81,5,TH,-Tnnnn-_,1303,28,13,0,82,41,0.6829268292682921
82,5,VN,╰❥₷ɦ¡ท♚,1303,15,1,0,82,16,0.9375
83,2,JP,パデオ,1303,23,8,0,82,31,0.7419354838709671
84,1,KR,아칸-,1303,17,2,0,82,19,0.894736842105263
85,4,NL,monkzera_,1303,22,7,0,82,29,0.758620689655172
86,5,TH,Mr.VSR`,1302,29,14,0,87,43,0.6744186046511621
87,4,CA,Faintmemοry,1302,22,8,0,87,30,0.7333333333333331
88,5,SG,-RememberYS-,1301,29,13,1,89,43,0.6744186046511621
89,4,BR,Pandalik3,1301,22,8,0,89,30,0.7333333333333331
90,6,DE,13Jan37,1300,17,3,0,91,20,0.85
91,3,IT,B哥没有矿了,1300,30,14,0,91,44,0.6818181818181811
92,3,CN,AmNeSiaTraume.,1300,27,13,0,91,40,0.675
93,5,TH,Ⓣ｡₭µ∑M-,1300,23,7,0,91,30,0.766666666666666
94,4,SE,Slance,1300,20,5,0,91,25,0.8
95,5,VN,BabyDarkness,1300,27,11,0,91,38,0.710526315789473
96,5,KR,Fenrir♂,1299,22,8,0,97,30,0.7333333333333331
97,5,TH,D-Xanxus,1299,17,3,0,97,20,0.85
98,2,JP,GEAN,1299,36,22,0,97,58,0.620689655172413
99,1,KR,정현찡,1299,22,8,0,97,30,0.7333333333333331
