#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
2,6,NL,Seiishizo,1369,25,5,0,3,30,0.833333333333333,2021-01-04 20:49:40.998009
2,6,NL,Seiishizo,1369,25,5,0,3,30,0.833333333333333,2021-01-04 20:49:41.058208
2,6,NL,Seiishizo,1369,25,5,0,3,30,0.833333333333333,2021-01-04 20:50:29.362418
2,6,NL,Seiishizo,1369,25,5,0,3,30,0.833333333333333,2021-01-04 20:50:29.418480
2,6,NL,Seiishizo,1369,25,5,0,3,30,0.833333333333333,2021-01-04 20:53:33.336768
2,6,NL,Seiishizo,1369,25,5,0,3,30,0.833333333333333,2021-01-04 20:53:33.390777
2,6,NL,Seiishizo,1369,25,5,0,3,30,0.833333333333333,2021-01-04 20:54:22.235420
2,6,NL,Seiishizo,1369,25,5,0,3,30,0.833333333333333,2021-01-04 20:54:22.289537
4,6,NL,Seiishizo,1369,25,5,0,5,30,0.833333333333333,2021-01-04 22:30:19.251285
4,6,NL,Seiishizo,1369,25,5,0,5,30,0.833333333333333,2021-01-04 22:30:19.293527
4,6,NL,Seiishizo,1369,25,5,0,5,30,0.833333333333333,2021-01-04 22:32:01.148483
4,6,NL,Seiishizo,1369,25,5,0,5,30,0.833333333333333,2021-01-04 22:32:01.193167
4,6,NL,Seiishizo,1369,25,5,0,5,30,0.833333333333333,2021-01-04 22:35:04.316438
4,6,NL,Seiishizo,1369,25,5,0,5,30,0.833333333333333,2021-01-04 22:35:04.360960
4,6,NL,Seiishizo,1369,25,5,0,5,30,0.833333333333333,2021-01-04 22:37:11.831327
4,6,NL,Seiishizo,1369,25,5,0,5,30,0.833333333333333,2021-01-04 22:37:11.875106
4,6,NL,Seiishizo,1369,25,5,0,5,30,0.833333333333333,2021-01-04 22:45:44.154310
4,6,NL,Seiishizo,1369,25,5,0,5,30,0.833333333333333,2021-01-04 22:45:44.200741
4,6,NL,Seiishizo,1369,25,5,0,5,30,0.833333333333333,2021-01-04 22:48:33.970422
4,6,NL,Seiishizo,1369,25,5,0,5,30,0.833333333333333,2021-01-04 22:48:34.016262
4,6,NL,Seiishizo,1369,25,5,0,5,30,0.833333333333333,2021-01-04 22:50:17.204416
4,6,NL,Seiishizo,1369,25,5,0,5,30,0.833333333333333,2021-01-04 22:50:17.247319
4,6,NL,Seiishizo,1369,25,5,0,5,30,0.833333333333333,2021-01-04 22:51:16.916040
4,6,NL,Seiishizo,1369,25,5,0,5,30,0.833333333333333,2021-01-04 22:51:16.963709
4,6,NL,Seiishizo,1369,25,5,0,5,30,0.833333333333333,2021-01-04 22:51:43.762088
4,6,NL,Seiishizo,1369,25,5,0,5,30,0.833333333333333,2021-01-04 22:51:43.806787
4,6,NL,Seiishizo,1369,25,5,0,5,30,0.833333333333333,2021-01-04 22:52:32.062428
4,6,NL,Seiishizo,1369,25,5,0,5,30,0.833333333333333,2021-01-04 22:52:32.109362
4,6,NL,Seiishizo,1369,25,5,0,5,30,0.833333333333333,2021-01-04 23:43:02.936158
4,6,NL,Seiishizo,1369,25,5,0,5,30,0.833333333333333,2021-01-04 23:43:02.979130
